,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
187,688385.SH,20231208,41.21,42.69,40.94,42.4,41.09,1.31,3.1881,118186.63,494065.523
188,688385.SH,20231207,41.49,42.09,40.88,41.09,41.5,-0.41,-0.988,72273.95,298126.512
189,688385.SH,20231206,42.61,42.94,41.3,41.5,42.62,-1.12,-2.6279,65186.17,273074.144
190,688385.SH,20231205,44.41,44.59,42.61,42.62,44.56,-1.94,-4.3537,52798.7,228371.307
191,688385.SH,20231204,44.72,45.2,44.0,44.56,44.61,-0.05,-0.1121,36182.81,161707.523
192,688385.SH,20231201,44.78,44.94,44.03,44.61,44.75,-0.14,-0.3128,41138.27,183141.381
193,688385.SH,20231130,45.58,45.81,44.51,44.75,45.58,-0.83,-1.821,44848.41,201648.488
194,688385.SH,20231129,46.46,46.94,45.57,45.58,46.61,-1.03,-2.2098,39161.58,180369.042
195,688385.SH,20231128,46.9,47.16,46.14,46.61,46.75,-0.14,-0.2995,31254.38,145473.912
196,688385.SH,20231127,46.03,47.25,45.55,46.75,46.2,0.55,1.1905,38128.07,177346.051
197,688385.SH,20231124,46.85,47.11,46.13,46.2,46.9,-0.7,-1.4925,26572.04,123542.471
198,688385.SH,20231123,46.41,47.07,46.03,46.9,46.16,0.74,1.6031,28277.58,131831.776
199,688385.SH,20231122,47.7,47.98,46.16,46.16,47.88,-1.72,-3.5923,38434.33,180337.405
200,688385.SH,20231121,49.0,49.17,47.76,47.88,49.05,-1.17,-2.3853,33350.42,161034.401
201,688385.SH,20231120,48.87,49.6,48.22,49.05,48.51,0.54,1.1132,31957.63,156423.097
202,688385.SH,20231117,48.8,49.38,48.36,48.51,48.77,-0.26,-0.5331,33300.82,162352.093
203,688385.SH,20231116,49.82,50.29,48.75,48.77,50.09,-1.32,-2.6353,38978.96,191813.444
204,688385.SH,20231115,51.47,51.75,49.82,50.09,51.2,-1.11,-2.168,52470.39,264955.627
205,688385.SH,20231114,50.49,52.4,50.02,51.2,50.36,0.84,1.668,59976.76,308584.533
206,688385.SH,20231113,48.97,50.78,48.69,50.36,48.93,1.43,2.9225,51266.68,254976.092
207,688385.SH,20231110,48.6,49.5,48.33,48.93,48.7,0.23,0.4723,40015.07,196187.907
208,688385.SH,20231109,49.81,50.11,48.3,48.7,49.77,-1.07,-2.1499,45000.27,220386.633
209,688385.SH,20231108,49.9,50.48,49.41,49.77,50.09,-0.32,-0.6389,46105.58,229580.945
210,688385.SH,20231107,50.29,50.35,49.3,50.09,50.19,-0.1,-0.1992,39040.77,194896.348
211,688385.SH,20231106,48.1,51.26,47.58,50.19,47.47,2.72,5.7299,108214.28,538915.72
212,688385.SH,20231103,45.0,47.8,44.74,47.47,44.81,2.66,5.9362,71776.91,335185.912
213,688385.SH,20231102,46.86,47.01,44.79,44.81,46.9,-2.09,-4.4563,50337.2,229564.657
214,688385.SH,20231101,47.87,48.1,46.58,46.9,48.4,-1.5,-3.0992,57046.76,268722.995
215,688385.SH,20231031,45.5,50.5,44.6,48.4,45.99,2.41,5.2403,105790.72,501796.951
216,688385.SH,20231030,43.57,46.16,42.88,45.99,43.09,2.9,6.7301,81338.05,365515.47
217,688385.SH,20231027,42.62,43.64,41.9,43.09,42.58,0.51,1.1977,33614.38,143876.263
218,688385.SH,20231026,42.77,42.86,41.65,42.58,42.85,-0.27,-0.6301,24423.84,102924.31
